CustomerID,last_purchase,frequency,monetary,recency,R_score,F_score,M_score,RFM_score,segment
12346,2011-01-18 10:01:00,1,77183.6,326,1,1,4,6,Lost
12347,2011-12-07 15:52:00,7,4310.0,2,4,4,4,12,Champions
12348,2011-09-25 13:13:00,4,1437.24,75,2,3,3,8,At Risk
12349,2011-11-21 09:51:00,1,1457.55,19,3,1,3,7,Promising
12350,2011-02-02 16:01:00,1,294.4,310,1,1,1,3,Lost
12352,2011-11-03 14:37:00,7,1385.74,36,3,4,3,10,Loyal
12353,2011-05-19 17:47:00,1,89.0,204,1,1,1,3,Lost
12354,2011-04-21 13:11:00,1,1079.4,232,1,1,3,5,Lost
12355,2011-05-09 13:49:00,1,459.4,214,1,1,2,4,Lost
12356,2011-11-17 08:40:00,3,2487.43,23,3,3,4,10,Loyal
12357,2011-11-06 16:07:00,1,6207.67,33,3,1,4,8,Promising
12358,2011-12-08 10:26:00,2,928.0600000000001,2,4,2,3,9,Promising
12359,2011-10-13 12:47:00,4,6372.58,58,2,3,4,9,At Risk
12360,2011-10-18 15:22:00,3,2302.06,52,2,3,4,9,At Risk
12361,2011-02-25 13:51:00,1,174.9,287,1,1,1,3,Lost
12362,2011-12-06 15:40:00,10,4737.23,3,4,4,4,12,Champions
12363,2011-08-22 10:18:00,2,552.0,110,2,2,2,6,Needs Attention
12364,2011-12-02 10:22:00,4,1208.1,8,4,3,3,10,Loyal
12365,2011-02-21 13:51:00,1,320.69,291,1,1,2,4,Lost
12367,2011-12-05 16:48:00,1,150.9,4,4,1,1,6,Promising
12370,2011-10-19 14:51:00,4,3425.69,51,3,3,4,10,Loyal
12371,2011-10-11 10:43:00,1,1527.96,60,2,1,3,6,Needs Attention
12372,2011-09-29 12:12:00,3,1196.04,72,2,3,3,8,At Risk
12373,2011-02-01 13:10:00,1,324.6,311,1,1,2,4,Lost
12374,2011-11-14 15:37:00,1,622.93,25,3,1,2,6,Promising
12375,2011-11-29 10:36:00,2,377.5,11,4,2,2,8,Promising
12377,2011-01-28 15:45:00,2,1548.12,315,1,2,3,6,Needs Attention
12378,2011-08-02 10:34:00,1,4008.62,130,2,1,4,7,Needs Attention
12379,2011-09-19 10:09:00,2,777.24,82,2,2,3,7,Needs Attention
12380,2011-11-18 11:27:00,4,2427.81,22,3,3,4,10,Loyal
12381,2011-12-05 12:44:00,3,1474.81,5,4,3,3,10,Loyal
12383,2011-06-08 08:02:00,5,1628.56,185,1,3,3,7,At Risk
12384,2011-11-11 08:39:00,2,425.27000000000004,29,3,2,2,7,Promising
